PM2.5,PM10,NO2,NH3,CO,SO2,O3,AQI,Remark
43.08,113.31,21.18,18.5,0.81,15.02,18.8,116,Moderate
38.1,116.06,19.02,22.46,0.79,22.7,25.64,108,Moderate
33.08,97,22.21,19.27,0.79,13.89,22.73,100,Satisfactory
29.7,83.16,18.83,14.52,0.72,8.98,23.63,92,Satisfactory
38.67,77.45,17.33,12.72,0.65,9.71,29.26,80,Satisfactory
30.04,82.67,22.81,12.41,0.66,12.63,22.9,88,Satisfactory
39.72,83.07,24.74,12.52,0.78,8.98,17.81,83,Satisfactory
38.21,103.81,26.29,14.03,0.81,9.68,17.53,100,Satisfactory
58.31,78.95,19.03,14.15,0.75,8.03,22.81,81,Satisfactory
62.49,124.64,28.85,14,1.03,10.21,22.24,112,Moderate
49.04,113.56,22.65,16.53,0.91,12.68,26.26,113,Moderate
41.67,102.46,19.92,14.09,0.64,6.82,26.52,105,Moderate
32.44,80.09,13.08,13.51,0.78,8.35,30.38,88,Satisfactory
26.43,75.3,19.07,12.65,0.68,7.75,21.52,78,Satisfactory
25.08,80.85,20.82,11.64,0.72,9.43,16.52,78,Satisfactory
26.09,60.67,15.22,14.1,0.56,8.63,13.8,69,Satisfactory
16.62,63.05,10.42,10.74,0.58,11.33,21.38,60,Satisfactory
49.58,39.94,8.18,11.53,0.58,6.37,12.68,51,Satisfactory
43.52,82.95,19.05,13.47,0.7,12.47,20.32,61,Satisfactory
39.83,80.01,20.43,13.75,0.8,10.57,23.36,90,Satisfactory
36.89,76.09,14.37,13.34,0.7,8.89,23.13,74,Satisfactory
52.69,76.61,18.83,13.96,0.57,7.04,13.58,76,Satisfactory
46.48,94.25,14.44,15.35,0.59,16.81,19.03,92,Satisfactory
44.22,95.41,14.79,15.02,0.6,15.55,21.04,93,Satisfactory
35.91,77.62,8.53,14.58,0.73,9.61,23.87,88,Satisfactory
39.05,71.26,6.99,13.53,0.67,3.69,27.58,75,Satisfactory
30.21,81.51,9.86,10.94,0.68,7.26,23.74,79,Satisfactory
31.14,67.22,11.29,11.24,0.58,13.19,20.89,74,Satisfactory
26.82,60.35,10.36,11.8,0.83,14.42,20.99,62,Satisfactory
26.34,52.51,7.68,11.54,0.69,13.63,23.6,53,Satisfactory
28.48,52.07,8.43,9.3,0.57,18.83,23.6,53,Satisfactory
21.83,55.8,6.86,10.49,0.64,12.97,24.19,55,Satisfactory
24.23,52.92,5.28,7.53,0.55,8.3,23.34,52,Satisfactory
22.29,52.06,14.33,8.17,0.56,9.95,23.86,55,Satisfactory
25.28,55.96,11.27,10.88,0.67,8.08,19.63,56,Satisfactory
19.68,54.59,9.65,12.44,0.72,8.7,19.64,56,Satisfactory
24.4,45.57,6.63,8.44,0.69,5.86,14.34,52,Satisfactory
20.05,70.25,10.84,10.27,0.74,7.4,13.13,76,Satisfactory
23.72,79.5,13.54,9.77,0.65,10.35,34.29,76,Satisfactory
26.12,55.74,8.86,10.54,0.81,6.71,19.29,81,Satisfactory
7.16,56.77,11.71,9.83,0.5,6.88,14.32,59,Satisfactory
